event_id,prog_id,event_class,event_title,event_venue,event_country,event_date,race_year,starters_count,finishers_count,finish_rate_pct,dnf_count,scorers_count,scoring_success_rate_pct,last_scoring_pos,zero_point_finishers,gap_1st_3rd_sec,gap_1st_10th_sec,gap_1st_30th_sec,gap_10th_30th_sec,gap_1st_last_scorer_sec,bike_pack1_size,winner_from_pack1_flag,top10_pack1_ratio_pct,scorers_pack1_ratio_pct,bike_expansion_ratio,bike_front_pack_retention,bike_solo_breakaway,swim_winner_deficit,swim_avg_pos_top10,swim_avg_pos_top30,swim_avg_pos_scorers,swim_weak_survivors_top30,swim_weak_scorers_count,swim_leader_survival_rate,swim_front_survivors,swim_dispersion_top30,bike_off_dispersion_top30,bike_off_dispersion_scorers,bike_gap_1st_10th,bike_gap_1st_30th,bike_move_up_count_top30,bike_move_up_count_scorers,run_dominance_top10,run_positions_gained_top10,run_positions_gained_top30,run_positions_gained_scorers,run_slowest_rank_top30,run_slowest_rank_scorers,run_gap_1st_10th,run_dominance_sec,run_winner_rank,run_fastest_deficit,rank_winner,rank_avg_top3,rank_avg_top10,rank_avg_top30,rank_avg_scorers,rank_upset_count_top30,rank_upset_count_scorers,rank_correlation,rank_volatility_top10,rank_volatility_scorers,rank_overperformers_top20,rank_winner_is_top_ranked,rank_podium_is_top_ranked
194263,673882,continental_cup,2025 Europe Triathlon Premium Cup Holten,Holten,Netherlands,2025-06-21,2025,70,70,100.0,0,63,90.0,63,7,16,35,88,53,242,33,1,100.0,52.4,1.46,4,0,21.0,17.9,24.8,32.8,9,32,60.0,10,10.68,15.57,20.38,,,6,13,7,6.8,5.8,-1.0,41,66,31.0,12.0,1,0.0,169,167.7,199.1,248.3,348.2,30,58,0.4992960279801793,167.6,223.9,20,0,0
194260,673877,continental_cup,2025 Europe Triathlon Cup Wels,Wels,Austria,2025-06-14,2025,71,65,91.5,6,59,90.8,59,6,2,28,78,50,242,45,1,80.0,76.3,0.72,4,0,18.0,21.6,28.9,28.7,12,25,58.3,3,8.64,6.19,33.27,,,11,15,8,6.6,2.8,-3.7,29,60,26.0,7.0,1,0.0,156,174.3,216.6,300.2,359.4,30,57,0.55330998813538934,104.6,195.7,20,0,1
194725,673857,continental_cup,2025 Asia Triathlon Cup Taizhou,Jiangyan District,China,2025-06-14,2025,68,48,70.6,20,26,54.2,26,22,60,204,603,399,519,29,1,100.0,92.3,2.5,8,0,6.0,13.1,20.4,17.9,7,5,100.0,12,34.32,85.87,45.19,15.0,131.0,8,7,9,2.4,1.2,1.1,33,32,194.0,3.0,1,0.0,62,130.3,273.5,415.0,388.9,26,23,0.59528873945714667,201.2,252.3,19,0,1
194890,674133,continental_cup,2025 Asia Triathlon Cup Burabay, Burabay,Kazakhstan,2025-06-14,2025,39,38,97.4,1,27,71.1,27,11,24,150,711,561,453,7,0,60.0,25.9,2.66,7,0,81.0,11.3,15.6,14.3,2,0,100.0,9,37.47,99.65,38.39,,427.0,2,2,9,2.8,-0.4,0.2,36,34,143.0,4.0,1,0.0,100,395.0,290.7,333.3,330.6,27,25,0.52266786537909027,239.1,201.5,20,0,1
194258,673852,continental_cup,2025 Europe Triathlon Cup Rzeszow,Rzeszow,Poland,2025-06-07,2025,70,51,72.9,19,43,84.3,43,8,59,150,317,167,510,5,1,40.0,11.6,2.53,7,0,2.0,11.3,22.2,25.8,6,13,60.0,6,27.21,68.75,70.93,90.0,188.0,9,15,7,1.0,-2.5,-5.4,27,36,,34.0,4,86.0,172,199.3,286.2,359.4,414.2,29,42,0.45035586230563257,196.6,207.2,19,0,1
194257,673847,continental_cup,2025 Europe Triathlon Cup Kielce,Kielce,Poland,2025-06-01,2025,120,114,95.0,6,59,51.8,59,55,6,19,73,54,106,23,1,80.0,37.3,0.33,4,0,25.0,29.9,29.3,33.9,10,25,66.7,12,7.82,2.59,22.45,,26.0,13,16,8,4.3,-4.3,-5.1,44,55,24.0,,1,7.0,342,212.0,259.4,306.5,398.0,28,53,0.55745864165120473,146.3,186.2,19,0,0
194971,675539,wtcs,2025 World Triathlon Championship Series Alghero,Alghero,Italy,2025-05-31,2025,43,32,74.4,11,32,100.0,32,0,64,140,401,261,476,9,1,60.0,25.0,4.42,7,0,7.0,15.0,20.1,19.8,8,8,63.6,15,11.01,48.62,47.8,107.0,114.0,6,6,7,4.2,-0.9,-1.3,30,32,34.0,6.0,3,109.0,4,3.0,21.3,54.0,51.3,25,25,0.33833950610533176,20.3,56.8,15,0,3
194866,673736,continental_cup,2025 Americas Triathlon Cup Salinas,SALINAS,Ecuador,2025-05-31,2025,41,39,95.1,2,30,76.9,30,9,12,63,182,119,182,17,1,80.0,56.7,1.01,8,0,16.0,13.9,15.6,15.6,2,2,100.0,9,17.51,17.75,17.75,18.0,53.0,5,5,8,4.5,-1.0,-1.0,35,35,60.0,1.0,1,0.0,268,241.3,289.0,513.9,513.9,27,27,0.57311139344676643,88.4,243.2,18,0,1
194724,674229,continental_cup,2025 Asia Triathlon Cup Osaka Castle,Osaka Castle,Japan,2025-05-25,2025,72,65,90.3,7,48,73.8,48,17,18,62,140,78,259,2,0,20.0,4.2,1.32,5,0,21.0,22.2,20.6,25.5,8,17,90.0,4,14.53,19.18,43.27,,64.0,7,12,8,4.6,1.9,-0.4,40,57,58.0,8.0,1,0.0,38,88.3,164.3,253.5,332.4,29,41,0.59227512927446735,121.0,246.3,20,1,1
194255,673837,continental_cup,2025 Europe Triathlon Cup Olsztyn,Olsztyn,Poland,2025-05-24,2025,70,65,92.9,5,58,89.2,58,7,13,28,85,57,229,39,1,70.0,63.8,0.43,4,0,31.0,22.1,24.3,29.1,9,24,36.4,12,11.98,5.12,31.45,6.0,,12,18,7,6.4,0.6,-4.6,32,52,,7.0,1,0.0,305,263.0,255.1,313.6,394.8,28,52,0.54070832870239116,83.7,200.1,19,0,0
